Date,Open,High,Low,Close,Adj Close,Volume,Sentiment
2018-10-08,81.980003,82.739998,81.75,82.400002,76.57441700000001,7192300,0.4927
2018-10-09,82.389999,82.720001,82.059998,82.199997,76.38855,6268100,0.0
2018-10-10,81.809998,82.68,81.440002,81.440002,75.68229699999999,9295800,0.0
2018-10-11,81.639999,81.970001,78.66999799999999,78.870003,73.293983,12560300,0.0
2018-10-12,79.370003,79.379997,78.489998,79.059998,73.470551,9878700,0.0
2018-10-15,79.010002,80.540001,78.91999799999999,80.129997,74.464905,9691500,0.0
2018-10-16,79.910004,81.089996,79.900002,81.010002,75.2827,9462600,0.0
2018-10-17,80.760002,82.18,80.379997,81.860001,76.072601,10375300,0.0
2018-10-18,80.709999,81.339996,80.0,80.239998,75.226013,9869500,0.0
2018-10-19,84.860001,87.760002,84.860001,87.300003,81.84485600000001,30276400,0.0
2018-10-22,86.730003,87.239998,85.230003,86.599998,81.188599,14124100,0.0
2018-10-23,86.010002,87.300003,86.010002,87.160004,81.713608,16269500,0.4074
2018-10-24,87.279999,90.699997,87.220001,89.459999,83.869888,26703500,0.0
2018-10-25,88.110001,89.33000200000001,87.309998,89.0,83.438637,14647000,0.0
2018-10-26,88.690002,89.16999799999999,87.389999,87.860001,82.369873,14335900,0.0
2018-10-29,88.290001,89.41999799999999,87.440002,88.239998,82.726112,12878900,0.0
2018-10-30,88.849998,89.43,88.209999,89.190002,83.61676800000001,13844000,0.0
2018-10-31,88.769997,89.32,87.269997,88.68,83.138634,13362400,0.0
2018-11-01,88.809998,89.83000200000001,88.18,89.589996,83.991753,9732400,-0.7579
2018-11-02,89.879997,89.949997,88.980003,89.809998,84.198006,11336000,0.0
2018-11-05,89.889999,91.440002,89.82,91.199997,85.501152,12270100,0.0
2018-11-06,90.860001,91.529999,90.43,91.510002,85.791779,8857800,0.0
2018-11-07,91.589996,91.620003,90.620003,91.290001,85.585533,9019800,0.0
2018-11-08,90.949997,91.529999,90.66999799999999,91.360001,85.651169,6614400,0.0
2018-11-09,91.349998,92.66999799999999,91.16999799999999,92.410004,86.635544,10713500,0.0
2018-11-12,92.209999,93.449997,91.75,92.699997,86.907425,12522100,-0.2732
2018-11-13,91.970001,93.57,91.589996,93.470001,87.62930300000001,13438700,0.0
2018-11-14,93.41999799999999,93.900002,92.989998,93.489998,87.648064,11623000,0.0
2018-11-15,93.33000200000001,93.900002,92.720001,93.83000200000001,87.96680500000001,12506000,0.4939
2018-11-16,93.82,94.809998,93.66999799999999,93.82,87.957451,13013500,0.0
2018-11-19,93.720001,94.190002,92.910004,93.290001,87.46055600000001,9458300,0.0
2018-11-20,93.239998,93.790001,91.860001,92.099998,86.34491700000001,12074000,0.0
2018-11-21,91.660004,92.370003,91.239998,91.410004,85.698029,8911800,0.0
2018-11-23,91.25,91.989998,90.629997,91.540001,85.819923,4399600,0.0
2018-11-26,91.150002,92.400002,91.150002,91.940002,86.194923,8171400,0.0
2018-11-27,91.93,92.860001,91.849998,92.720001,86.92617800000001,9023400,0.0
2018-11-28,92.629997,93.220001,92.209999,93.010002,87.198059,8093700,0.0
2018-11-29,92.860001,93.300003,92.660004,92.82,87.01992800000001,6126900,0.0
2018-11-30,93.18,94.650002,92.75,94.510002,88.604332,16291800,0.0
2018-12-03,94.66999799999999,94.66999799999999,92.260002,93.32,87.48869300000001,13934700,0.0
2018-12-04,93.489998,94.860001,93.16999799999999,93.309998,87.47931700000001,11123600,0.0
2018-12-06,92.699997,93.629997,91.08000200000001,93.550003,87.70431500000001,14199200,0.0
2018-12-07,93.589996,93.779999,92.139999,92.449997,86.67304200000001,7996800,0.0
2018-12-10,93.25,93.400002,91.370003,93.029999,87.216812,9307600,0.0
2018-12-11,93.720001,94.519997,93.400002,93.910004,88.041824,8743800,0.0
2018-12-12,94.209999,94.550003,93.099998,94.029999,88.154327,9644000,0.4847
2018-12-13,94.870003,96.790001,94.800003,96.489998,90.46060200000001,18541300,0.0
2018-12-14,96.449997,96.900002,96.019997,96.639999,90.60123399999999,12657300,0.0
2018-12-17,96.0,96.5,92.400002,92.769997,86.97305300000001,12427600,0.0
2018-12-18,93.129997,93.309998,91.860001,92.489998,86.710548,12250600,0.0
2018-12-19,92.550003,93.349998,91.290001,91.760002,86.026154,10825600,0.0
2018-12-20,91.510002,92.230003,90.129997,90.980003,85.294899,14439200,0.0
2018-12-21,90.610001,93.16999799999999,90.360001,90.970001,85.285538,24030000,0.0
2018-12-24,90.449997,90.660004,86.879997,87.360001,81.901108,7396300,0.0
2018-12-26,87.41999799999999,90.089996,86.739998,90.089996,84.46051,8630900,0.0
2018-12-27,89.610001,92.050003,88.199997,92.019997,86.269913,11360100,0.0
2018-12-28,92.559998,93.279999,90.839996,91.18,85.482407,9611800,0.0
